dataset,classifier,rate,seed,gap_intercept
digits,LogReg,0.05,1,0.8884
digits,LogReg,0.05,7,0.8891
digits,LogReg,0.05,13,0.8933
digits,LogReg,0.05,99,0.8974
digits,LogReg,0.1,42,0.8869
digits,LogReg,0.1,1,0.8841
digits,LogReg,0.1,7,0.8882
digits,LogReg,0.1,13,0.8873
digits,LogReg,0.1,99,0.8813
digits,LogReg,0.15,42,0.8452
digits,LogReg,0.15,1,0.84
digits,LogReg,0.15,7,0.8453
digits,LogReg,0.15,13,0.8415
digits,LogReg,0.15,99,0.847
digits,LogReg,0.2,42,0.795
digits,LogReg,0.2,1,0.7926
digits,LogReg,0.2,7,0.7919
digits,LogReg,0.2,13,0.7906
digits,LogReg,0.2,99,0.7977
digits,LogReg,0.25,42,0.7376
digits,LogReg,0.25,1,0.7474
digits,LogReg,0.25,7,0.7489
digits,LogReg,0.25,13,0.7557
digits,LogReg,0.25,99,0.7515
digits,LogReg,0.3,42,0.6972
digits,LogReg,0.3,1,0.6901
digits,LogReg,0.3,7,0.7065
digits,LogReg,0.3,13,0.6872
digits,LogReg,0.3,99,0.7055
digits,LogReg,0.35,42,0.6491
digits,LogReg,0.35,1,0.6424
digits,LogReg,0.35,7,0.6424
digits,LogReg,0.35,13,0.6567
digits,LogReg,0.35,99,0.6406
digits,RF,0.05,42,0.1367
digits,RF,0.05,1,0.1273
digits,RF,0.05,7,0.1323
digits,RF,0.05,13,0.1438
digits,RF,0.05,99,0.1278
digits,RF,0.1,42,0.0305
digits,RF,0.1,1,0.0307
digits,RF,0.1,7,0.0295
digits,RF,0.1,13,0.0308
digits,RF,0.1,99,0.03
digits,RF,0.15,42,0.0326
digits,RF,0.15,1,0.0323
digits,RF,0.15,7,0.0368
digits,RF,0.15,13,0.0391
digits,RF,0.15,99,0.0336
digits,RF,0.2,42,0.0356
digits,RF,0.2,1,0.0499
digits,RF,0.2,7,0.0384
digits,RF,0.2,13,0.0377
digits,RF,0.2,99,0.0337
digits,RF,0.25,42,0.0377
digits,RF,0.25,1,0.0457
digits,RF,0.25,7,0.0395
digits,RF,0.25,13,0.0313
digits,RF,0.25,99,0.0406
digits,RF,0.3,42,0.0394
digits,RF,0.3,1,0.0474
digits,RF,0.3,7,0.042
digits,RF,0.3,13,0.0409
digits,RF,0.3,99,0.0408
digits,RF,0.35,42,0.0395
digits,RF,0.35,1,0.0471
digits,RF,0.35,7,0.0473
digits,RF,0.35,13,0.0387
digits,RF,0.35,99,0.043
segment,LogReg,0.05,42,0.7511
segment,LogReg,0.05,1,0.7282
segment,LogReg,0.05,7,0.7502
segment,LogReg,0.05,13,0.7405
segment,LogReg,0.05,99,0.769
segment,LogReg,0.1,42,0.7513
segment,LogReg,0.1,1,0.7388
segment,LogReg,0.1,7,0.742
segment,LogReg,0.1,13,0.7511
segment,LogReg,0.1,99,0.7407
segment,LogReg,0.15,42,0.7202
segment,LogReg,0.15,1,0.7087
segment,LogReg,0.15,7,0.7336
segment,LogReg,0.15,13,0.7257
segment,LogReg,0.15,99,0.7446
segment,LogReg,0.2,42,0.7015
segment,LogReg,0.2,1,0.6944
segment,LogReg,0.2,7,0.7037
segment,LogReg,0.2,13,0.6927
segment,LogReg,0.2,99,0.697
segment,LogReg,0.25,42,0.6552
segment,LogReg,0.25,1,0.6596
segment,LogReg,0.25,7,0.6505
segment,LogReg,0.25,13,0.6569
segment,LogReg,0.25,99,0.6752
segment,LogReg,0.3,42,0.5991
segment,LogReg,0.3,1,0.6352
segment,LogReg,0.3,7,0.6001
segment,LogReg,0.3,13,0.6068
segment,LogReg,0.3,99,0.6075
segment,LogReg,0.35,42,0.5794
segment,LogReg,0.35,1,0.5874
segment,LogReg,0.35,7,0.5911
segment,LogReg,0.35,13,0.5865
segment,LogReg,0.35,99,0.5834
segment,RF,0.05,42,0.0115
segment,RF,0.05,1,0.0182
segment,RF,0.05,7,0.0131
segment,RF,0.05,13,0.0149
segment,RF,0.05,99,0.0101
segment,RF,0.1,42,0.0045
segment,RF,0.1,1,0.0024
segment,RF,0.1,7,0.0023
segment,RF,0.1,13,0.0029
segment,RF,0.1,99,0.0036
segment,RF,0.15,42,0.0018
segment,RF,0.15,1,0.0011
segment,RF,0.15,7,0.0012
segment,RF,0.15,13,0.0011
segment,RF,0.15,99,0.0021
